FileName_OrigBrightfield,PathName_OrigBrightfield,FileName_OrigER,PathName_OrigER,FileName_OrigAGP,PathName_OrigAGP,FileName_OrigMito,PathName_OrigMito,FileName_OrigDNA,PathName_OrigDNA,FileName_OrigRNA,PathName_OrigRNA,Metadata_Plate,Metadata_Well,Metadata_Site,Metadata_AbsPositionZ,Metadata_ChannelID,Metadata_Col,Metadata_FieldID,Metadata_PlaneID,Metadata_PositionX,Metadata_PositionY,Metadata_PositionZ,Metadata_Row,Metadata_Reimaged
r13c04f01p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240718_SH-SY5Y_Re-imaged/BR00143976__2024-07-18T17_56_52-Measurement 6/Images,r13c04f01p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240718_SH-SY5Y_Re-imaged/BR00143976__2024-07-18T17_56_52-Measurement 6/Images,r13c04f01p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240718_SH-SY5Y_Re-imaged/BR00143976__2024-07-18T17_56_52-Measurement 6/Images,r13c04f01p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240718_SH-SY5Y_Re-imaged/BR00143976__2024-07-18T17_56_52-Measurement 6/Images,r13c04f01p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240718_SH-SY5Y_Re-imaged/BR00143976__2024-07-18T17_56_52-Measurement 6/Images,r13c04f01p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240718_SH-SY5Y_Re-imaged/BR00143976__2024-07-18T17_56_52-Measurement 6/Images,BR00143976,M04,1,0.134500906,6,4,1,1,0.0,0.0,-2e-06,13,True
r10c07f04p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c07f04p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c07f04p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c07f04p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c07f04p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c07f04p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,BR00143976,J07,4,0.1344136,6,7,4,1,0.000645814,0.000645814,-3e-06,10,True
r10c06f05p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c06f05p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c06f05p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c06f05p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c06f05p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c06f05p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,BR00143976,J06,5,0.134436503,6,6,5,1,0.000645814,0.0,-3e-06,10,True
r10c08f01p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c08f01p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c08f01p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c08f01p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c08f01p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c08f01p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,BR00143976,J08,1,0.134398997,6,8,1,1,0.0,0.0,-3e-06,10,True
r10c04f09p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c04f09p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c04f09p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c04f09p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c04f09p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c04f09p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,BR00143976,J04,9,0.134486705,6,4,9,1,0.000645814,-0.000645814,-3e-06,10,True
r10c05f01p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c05f01p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c05f01p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c05f01p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c05f01p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c05f01p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,BR00143976,J05,1,0.134465501,6,5,1,1,0.0,0.0,-3e-06,10,True
r10c03f08p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c03f08p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c03f08p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c03f08p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c03f08p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c03f08p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,BR00143976,J03,8,0.134522796,6,3,8,1,0.0,-0.000645814,-3e-06,10,True
r10c12f03p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c12f03p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c12f03p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c12f03p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c12f03p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c12f03p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,BR00143976,J12,3,0.134345293,6,12,3,1,0.0,0.000645814,-3e-06,10,True
r10c11f04p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c11f04p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c11f04p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c11f04p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c11f04p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c11f04p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,BR00143976,J11,4,0.134353504,6,11,4,1,0.000645814,0.000645814,-3e-06,10,True
r03c13f01p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_A-673_Re-imaged/BR00143976__2024-07-17T18_37_33-Measurement 3/Images,r03c13f01p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_A-673_Re-imaged/BR00143976__2024-07-17T18_37_33-Measurement 3/Images,r03c13f01p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_A-673_Re-imaged/BR00143976__2024-07-17T18_37_33-Measurement 3/Images,r03c13f01p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_A-673_Re-imaged/BR00143976__2024-07-17T18_37_33-Measurement 3/Images,r03c13f01p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_A-673_Re-imaged/BR00143976__2024-07-17T18_37_33-Measurement 3/Images,r03c13f01p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_A-673_Re-imaged/BR00143976__2024-07-17T18_37_33-Measurement 3/Images,BR00143976,C13,1,0.134375393,6,13,1,1,0.0,0.0,-4e-06,3,True
r10c09f08p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c09f08p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c09f08p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c09f08p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c09f08p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c09f08p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,BR00143976,J09,8,0.134379998,6,9,8,1,0.0,-0.000645814,-3e-06,10,True
r10c10f09p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c10f09p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c10f09p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c10f09p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c10f09p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r10c10f09p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,BR00143976,J10,9,0.134362996,6,10,9,1,0.000645814,-0.000645814,-3e-06,10,True
r09c07f05p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c07f05p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c07f05p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c07f05p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c07f05p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c07f05p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,BR00143976,I07,5,0.134418294,6,7,5,1,0.000645814,0.0,-3e-06,9,True
r09c06f06p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c06f06p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c06f06p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c06f06p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c06f06p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c06f06p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,BR00143976,I06,6,0.134447396,6,6,6,1,-0.000645814,0.0,-3e-06,9,True
r09c08f01p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c08f01p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c08f01p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c08f01p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c08f01p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c08f01p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,BR00143976,I08,1,0.134402394,6,8,1,1,0.0,0.0,-3e-06,9,True
r09c05f01p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c05f01p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c05f01p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c05f01p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c05f01p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c05f01p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,BR00143976,I05,1,0.134468496,6,5,1,1,0.0,0.0,-3e-06,9,True
r09c04f02p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c04f02p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c04f02p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c04f02p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c04f02p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c04f02p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,BR00143976,I04,2,0.134499297,6,4,2,1,-0.000645814,0.000645814,-3e-06,9,True
r09c12f04p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c12f04p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c12f04p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c12f04p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c12f04p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c12f04p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,BR00143976,I12,4,0.134346098,6,12,4,1,0.000645814,0.000645814,-3e-06,9,True
r09c11f05p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c11f05p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c11f05p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c11f05p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c11f05p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c11f05p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,BR00143976,I11,5,0.134357899,6,11,5,1,0.000645814,0.0,-3e-06,9,True
r09c09f09p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c09f09p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c09f09p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c09f09p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c09f09p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c09f09p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,BR00143976,I09,9,0.134382293,6,9,9,1,0.000645814,-0.000645814,-3e-06,9,True
r09c10f01p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c10f01p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c10f01p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c10f01p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c10f01p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,r09c10f01p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/SN0313537/20240717_SK-N-MC_Re-imaged/BR00143976__2024-07-17T19_15_31-Measurement 4/Images,BR00143976,I10,1,0.134370297,6,10,1,1,0.0,0.0,-3e-06,9,True
